user,k-NN,extra-Trees
mobiAct_1,0.838398814,0.958487769
mobiAct_10,0.895755771,0.883842144
mobiAct_11,0.920208799,0.940343028
mobiAct_12,0.978342046,0.96639283
mobiAct_16,0.599099099,0.951201201
mobiAct_18,0.975075529,0.574773414
mobiAct_19,0.766616314,0.971299094
mobiAct_2,0.937835764,0.873369148
mobiAct_20,0.991544965,0.986933128
mobiAct_21,0.985316847,0.98763524
mobiAct_22,1,0.990719258
mobiAct_23,0.995359629,0.986078886
mobiAct_24,0.99844841,0.989138867
mobiAct_25,0.997663551,0.992990654
mobiAct_26,0.998439938,0.995319813
mobiAct_27,0.548361934,0.581903276
mobiAct_28,0.967918623,0.996087637
mobiAct_29,0.996862745,1
mobiAct_3,0.96899841,0.961844197
mobiAct_32,0.905826018,0.936153232
mobiAct_33,0.963258786,0.95686901
mobiAct_34,0.904876099,0.945643485
mobiAct_35,0.861710631,0.943245404
mobiAct_36,0.795836669,0.942353883
mobiAct_37,0.949438202,0.949438202
mobiAct_38,0.992753623,0.976650564
mobiAct_39,0.976631749,0.960515713
mobiAct_4,0.91606134,0.952380952
mobiAct_40,0.949919225,0.960420032
mobiAct_41,0.970040486,0.981376518
mobiAct_42,0.991896272,0.965153971
mobiAct_43,0.99918897,0.97891322
mobiAct_44,0.96506905,0.959382616
mobiAct_45,0.694625407,0.9747557
mobiAct_46,0.950122649,0.959934587
mobiAct_47,0.990163934,0.971311475
mobiAct_48,0.519672131,0.97295082
mobiAct_49,0.946677605,0.969647252
mobiAct_5,0.971287941,0.971287941
mobiAct_50,0.962233169,0.968801314
mobiAct_51,0.946546053,0.969572368
mobiAct_52,0.992580379,0.97856554
mobiAct_53,0.99009901,0.977722772
mobiAct_54,0.997524752,0.98019802
mobiAct_55,0.8835673,0.976878613
mobiAct_56,0.986787779,0.974401321
mobiAct_57,0.89975145,0.045567523
mobiAct_58,0.999169435,0.988372093
mobiAct_59,0.897585346,0.981681932
mobiAct_6,0.998333333,0.995
mobiAct_60,0.995822891,0.990810359
mobiAct_61,0.998319328,0.994957983
mobiAct_62,0.998319328,0.990756303
mobiAct_63,0.630252101,0.992436975
mobiAct_64,0.989915966,0.979831933
mobiAct_65,0.991582492,0.994107744
mobiAct_66,0.999156118,0.995780591
mobiAct_67,0.987331081,0.996621622
mobiAct_7,0.983939138,0.997464074
mobiAct_8,0.560913706,0.955160745
mobiAct_9,0.972584856,0.851174935
,,
mean,0.92192818,0.940862441
stdev,0.121980939,0.138899876
