user,k-NN,extra-Trees
mobiAct_1,0.596738325,0.913269088
mobiAct_10,0.833209233,0.888309754
mobiAct_11,0.728560776,0.8650261
mobiAct_12,0.823749066,0.879761016
mobiAct_16,0.801801802,0.882132132
mobiAct_18,0.78776435,0.929003021
mobiAct_19,0.883685801,0.898036254
mobiAct_2,0.857252494,0.854182655
mobiAct_20,0.877017679,0.912375096
mobiAct_21,0.891035549,0.945131376
mobiAct_22,0.912606342,0.928074246
mobiAct_23,0.88863109,0.897138438
mobiAct_24,0.905352987,0.930954228
mobiAct_25,0.917445483,0.940809969
mobiAct_26,0.901716069,0.921216849
mobiAct_27,0.877535101,0.82449298
mobiAct_28,0.91627543,0.939749609
mobiAct_29,0.88627451,0.882352941
mobiAct_3,0.884737679,0.941971383
mobiAct_32,0.888268156,0.937749401
mobiAct_33,0.964057508,0.943290735
mobiAct_34,0.653077538,0.944844125
mobiAct_35,0.626698641,0.939248601
mobiAct_36,0.642113691,0.9367494
mobiAct_37,0.881219904,0.949438202
mobiAct_38,0.954911433,0.951690821
mobiAct_39,0.888799355,0.937953263
mobiAct_4,0.933817595,0.95157385
mobiAct_40,0.89095315,0.921647819
mobiAct_41,0.91902834,0.951417004
mobiAct_42,0.930307942,0.961102107
mobiAct_43,0.96918086,0.95620438
mobiAct_44,0.911454102,0.95775792
mobiAct_45,0.821661238,0.962540717
mobiAct_46,0.851185609,0.956663941
mobiAct_47,0.970491803,0.968032787
mobiAct_48,0.886885246,0.941803279
mobiAct_49,0.853158326,0.940114848
mobiAct_5,0.791632486,0.95488105
mobiAct_50,0.932676519,0.952380952
mobiAct_51,0.932565789,0.967105263
mobiAct_52,0.952184666,0.973619126
mobiAct_53,0.891089109,0.971122112
mobiAct_54,0.962871287,0.956270627
mobiAct_55,0.879438481,0.976052849
mobiAct_56,0.924029727,0.959537572
mobiAct_57,0.808616404,0.52029826
mobiAct_58,0.959302326,0.98089701
mobiAct_59,0.782681099,0.979184013
mobiAct_6,0.979166667,0.989166667
mobiAct_60,0.974101921,0.977443609
mobiAct_61,0.974789916,0.993277311
mobiAct_62,0.893277311,0.98907563
mobiAct_63,0.740336134,0.985714286
mobiAct_64,0.95210084,0.967226891
mobiAct_65,0.912457912,0.994107744
mobiAct_66,0.9907173,0.994936709
mobiAct_67,0.976351351,0.994932432
mobiAct_7,0.969568893,0.996618766
mobiAct_8,0.859560068,0.997461929
mobiAct_9,0.736292428,0.823759791
,,
mean,0.875155227,0.93571936
stdev,0.090762817,0.067436194
