Users,SVC,K-NN,extra_trees
1,6.48E-01,5.86E-01,8.15E-01
2,7.03E-01,6.98E-01,8.56E-01
3,8.85E-01,7.74E-01,9.10E-01
4,7.12E-01,3.98E-01,7.73E-01
5,6.65E-01,7.53E-01,8.53E-01
6,8.23E-01,8.20E-01,8.59E-01
7,6.96E-01,6.90E-01,7.91E-01
8,6.84E-01,6.77E-01,8.18E-01
9,8.68E-01,6.98E-01,9.31E-01
10,7.36E-01,6.22E-01,7.85E-01
11,8.32E-01,8.84E-01,8.51E-01
12,7.90E-01,7.47E-01,8.91E-01
13,7.78E-01,7.56E-01,8.29E-01
14,7.70E-01,8.27E-01,8.26E-01
15,8.20E-01,7.23E-01,8.06E-01
16,6.97E-01,7.97E-01,7.66E-01
17,6.92E-01,8.90E-01,8.00E-01
18,8.28E-01,8.47E-01,8.22E-01
19,7.64E-01,7.25E-01,8.19E-01
20,7.31E-01,6.24E-01,8.02E-01
21,8.28E-01,8.56E-01,8.59E-01
22,6.26E-01,6.02E-01,8.77E-01
23,6.45E-01,8.74E-01,7.85E-01
24,3.98E-01,8.43E-01,8.59E-01
