user,k-NN,extra-Trees
MotionSense_1,0.598553345,0.869801085
MotionSense_10,0.672332389,0.885741265
MotionSense_11,0.747011952,0.946215139
MotionSense_12,0.341640706,0.739356179
MotionSense_13,0.846715328,0.879040667
MotionSense_14,0.895287958,0.937172775
MotionSense_15,0.828961175,0.907660021
MotionSense_16,0.703506908,0.884165781
MotionSense_17,0.691729323,0.953813104
MotionSense_18,0.506010929,0.691803279
MotionSense_19,0.875824176,0.87032967
MotionSense_2,0.685022026,0.813876652
MotionSense_20,0.872437358,0.922551253
MotionSense_21,0.846681922,0.839816934
MotionSense_22,0.756069364,0.834682081
MotionSense_23,0.734265734,0.675990676
MotionSense_24,0.878646441,0.873978996
MotionSense_3,0.838823529,0.837647059
MotionSense_4,0.874556213,0.938461538
MotionSense_5,0.665467626,0.871702638
MotionSense_6,0.862238622,0.872078721
MotionSense_7,0.623279099,0.745932416
MotionSense_8,0.893589744,0.878205128
MotionSense_9,0.912708601,0.869062901
,,
mean,0.756306686,0.855795248
stdev,0.142048511,0.075238933
