user,k-NN,extra-Trees
MotionSense_1,0.418625678,0.727848101
MotionSense_10,0.52407932,0.690273843
MotionSense_11,0.621513944,0.771912351
MotionSense_12,0.236760125,0.574247144
MotionSense_13,0.644421272,0.722627737
MotionSense_14,0.637696335,0.740314136
MotionSense_15,0.624344176,0.742917104
MotionSense_16,0.507970244,0.713071201
MotionSense_17,0.474758324,0.716433942
MotionSense_18,0.501639344,0.687431694
MotionSense_19,0.684615385,0.698901099
MotionSense_2,0.525330396,0.780837004
MotionSense_20,0.575170843,0.756264237
MotionSense_21,0.608695652,0.7402746
MotionSense_22,0.738728324,0.824277457
MotionSense_23,0.472027972,0.652680653
MotionSense_24,0.611435239,0.716452742
MotionSense_3,0.615294118,0.762352941
MotionSense_4,0.604733728,0.712426036
MotionSense_5,0.522781775,0.723021583
MotionSense_6,0.606396064,0.724477245
MotionSense_7,0.451814768,0.680851064
MotionSense_8,0.534615385,0.706410256
MotionSense_9,0.697047497,0.834403081
,,
mean,0.560020663,0.725029469
stdev,0.106651742,0.052881958
